year,authors,category
1999,Kushmerick,Tracker Detection (non-ML)
2005,Esfandiari and Nock,Tracker Detection (non-ML)
2005,Jensen et al.,Web Crawlers
2010,Yamada et al.,Tracker Detection (non-ML)
2013,Acar et al.,Web Crawlers
2016,Englehardt and Narayanan,Web Crawlers
2017,Merzdovnik et al.,Web Crawlers
2019,Raschke et al.,Web Crawlers
2022,Cassel et al.,Web Crawlers
2009,Samuel and Zhang,Tracker Detection (non-ML)
2012,Orr et al.,Tracker Detection (ML)
2014,Bhagavatula et al.,Tracker Detection (ML)
2016,Wu et al.,Tracker Detection (ML)
2016,Kalavri et al.,Tracker Detection (non-ML)
2020,Fouad et al.,Tracker Detection (non-ML)
2020,Dao et al.,Tracker Detection (ML)
2020,Guarino et al.,Tracker Detection (ML)
2025,Rieder et al.,Tracker Detection (ML)
2013,Bau et al.,Tracker Detection (ML)
2015,Li et al.,Tracker Detection (ML)
2018,Iqbal et al.,Tracker Detection (ML)
2021,Iqbal et al.,Tracker Detection (ML)
2023,Munir et al.,Tracker Detection (ML)
2024,Chua et al.,Tracker Detection (ML)
2025,Shuang et al.,Tracker Detection (ML)
2005,Esfandaiari et al.,Tracker Detection (non-ML)
2015,Faizkhademi et al.,"Tracker Detection (non-ML)
"
2015,Metwalley et al.,Tracker Detection (non-ML)
2016,Yu et al.,Tracker Detection (non-ML)
2017,Le et al.,Tracker Detection (non-ML)
2025,Boussaha et al.,Tracker Detection (ML)
2023,Raschke et al.,Tracker Detection (ML)
2022,Bahrami et al.,Tracker Detection (ML)
2022,Iqbal et al.,Tracker Detection (ML)
2022,Siby et al.,Tracker Detection (ML)
2022,Yang et al.,Tracker Detection (ML)
2021,Dao et al.,Tracker Detection (ML)
2021,Reitinger and Mazurek,Tracker Detection (ML)
2021,Rizzo et al.,Tracker Detection (ML)
2021,Castell-Uroz et al.,Tracker Detection (ML)
2021,Sjörsten et al.,Tracker Detection (ML)
2020,Cozza et al.,Tracker Detection (ML)
2020,Castell-Uroz et al.,Tracker Detection (ML)
2020,Kargaran et al.,Tracker Detection (ML)
2020,Sjörsten et al.,Tracker Detection (ML)
2019,Tramér et al.,Tracker Detection (ML)
2019,Din et al.,Tracker Detection (ML)
2017,Ikram et al.,Tracker Detection (ML)
2016,Dudykevych and Nechypor,Tracker Detection (ML)
2016,Kaizer and Gupta,Tracker Detection (ML)
2015,Gugelmann et al.,Tracker Detection (ML)
2012,Mayer and Mitchell,Web Crawlers